team_abbr,season,target_wins,target_seed,target_playoff_result,current_net_rtg_diagnostic,current_off_rtg_diagnostic,current_def_rtg_diagnostic,team_net_rtg_prev_season,team_off_rtg_prev_season,team_def_rtg_prev_season,pace_prev_season,strength_of_schedule,roster_player_count,avg_age,total_player_games,total_player_minutes,total_ws,total_vorp,avg_ts_pct,avg_per,avg_bpm,minutes_weighted_age,top_3_players_minutes_share,top_5_players_usage_share,salary_total_observed,salary_player_count,salary_top_3_observed,salary_top_3_share_observed,target_playoff_flag,prior_net_rating_proxy_wins
MIN,2025-26,49,6,Lost Conference Semifinals,3.08,116.76,113.68,5.19,116.72,111.53,,,7,28.0,448.0,187.5,40.1,12.9,0.6011428571428572,16.385714285714283,1.4428571428571428,27.992533333333334,0.5317333333333334,0.8,80550512.0,2.0,80550512.0,1.0,1,55.013000000000005
NOP,2025-26,26,11,Missed Playoffs,-4.65,114.4,119.05,-9.62,110.39,120.01,,,10,24.428571428571427,416.0,198.9,25.2,6.1,0.5640000000000001,15.3625,-0.5625,24.555052790346906,0.48466566113624937,0.7294776119402985,98077873.0,3.0,98077873.0,1.0,0,15.026
NYK,2025-26,53,3,Won Finals,6.47,119.87,113.4,4.09,118.42,114.34,,,9,28.5,405.0,188.5,49.0,16.1,0.605,16.6,1.75,28.590450928381962,0.5358090185676393,0.7263492063492063,127655231.0,3.0,127655231.0,1.0,1,52.043
OKC,2025-26,64,1,Lost Conference Finals,11.05,118.94,107.89,12.72,120.33,107.61,,,9,25.0,363.0,159.3,49.0,17.6,0.594625,16.325,2.6624999999999996,24.95856873822975,0.5681104833647206,0.7230576441102757,38333050.0,1.0,38333050.0,1.0,1,75.344
ORL,2025-26,45,8,Lost First Round,0.56,115.09,114.54,-0.08,109.46,109.54,,,7,24.285714285714285,464.0,209.8,27.2,8.4,0.5793333333333334,14.983333333333333,0.5833333333333334,24.30981887511916,0.46901811248808384,0.8779342723004695,110387420.0,3.0,110387420.0,1.0,1,40.784
PHI,2025-26,45,7,Lost Conference Semifinals,-0.17,115.4,115.58,-6.42,111.91,118.33,,,10,27.666666666666668,345.0,196.2,35.2,8.8,0.5753333333333334,15.366666666666667,-0.022222222222222143,27.441896024464835,0.5331294597349643,0.6828046744574291,144849376.0,3.0,144849376.0,1.0,1,23.666
PHO,2025-26,45,7,Lost First Round,1.42,115.51,114.09,-3.04,116.26,119.3,,,10,27.714285714285715,421.0,199.1,40.8,12.0,0.5818888888888889,15.5,0.9111111111111112,27.922651933701655,0.46559517830236063,0.6771300448430493,86726763.0,2.0,86726763.0,1.0,1,32.792
POR,2025-26,42,8,Lost First Round,-0.17,114.54,114.71,-2.8,111.95,114.75,,,10,25.5,464.0,227.89999999999998,32.8,9.0,0.571625,14.5375,0.16249999999999998,25.679684071961386,0.42255375164545855,0.7588739290085679,64400000.0,2.0,64400000.0,1.0,1,33.44
SAC,2025-26,22,14,Missed Playoffs,-10.07,111.56,121.63,0.51,116.86,116.35,,,13,29.0,506.0,301.0,16.1,0.7,0.5608888888888889,13.88888888888889,-1.8111111111111111,29.162790697674417,0.32259136212624584,0.6383904295812941,89835660.0,2.0,89835660.0,1.0,0,42.377
SAS,2025-26,62,2,Lost Finals,8.27,119.68,111.41,-2.71,114.53,117.23,,,9,24.75,581.0,220.0,55.6,19.3,0.605111111111111,17.133333333333333,2.5,24.781363636363636,0.4159090909090909,0.6826870562534134,37096620.0,1.0,37096620.0,1.0,1,33.683
TOR,2025-26,46,5,Lost First Round,2.58,115.83,113.25,-4.41,110.52,114.93,,,9,26.5,410.0,176.39999999999998,39.5,13.0,0.5838749999999999,15.7375,1.0625,26.398526077097507,0.562358276643991,0.7204968944099379,109256988.0,3.0,109256988.0,1.0,1,29.092999999999996
UTA,2025-26,22,15,Missed Playoffs,-8.21,114.18,122.39,-9.37,111.24,120.61,,,13,24.181818181818183,500.0,300.7,13.0,-0.09999999999999992,0.569625,14.55,-1.9625,24.16029265048221,0.3318922514133688,0.6975554292211483,46394100.0,1.0,46394100.0,1.0,0,15.701
WAS,2025-26,17,15,Missed Playoffs,-11.84,111.0,122.84,-12.33,106.79,119.12,,,11,22.9,457.0,256.0,7.9,-1.9000000000000001,0.5622222222222223,14.288888888888888,-2.2777777777777777,22.76171875,0.3421875,0.6024945770065075,33296296.0,1.0,33296296.0,1.0,0,7.708999999999996
