player_id,player_name,team_abbr,minutes,impact,availability,evidence
1629638,Nickeil Alexander-Walker,ATL,33.37405982905983,4.0,100.0,Latest historical season; on-court net rating
1628396,Tony Bradley,ATL,10.992357723577236,-14.2,100.0,Latest historical season; on-court net rating
1642269,Devin Carter,ATL,18.417587719298247,-7.3,100.0,Latest historical season; on-court net rating
1630700,Dyson Daniels,ATL,33.15184210526316,6.2,100.0,Latest historical season; on-court net rating
1642484,RayJ Dennis,ATL,12.131372549019607,-14.2,100.0,Latest historical season; on-court net rating
1629652,Luguentz Dort,ATL,26.793357487922705,8.0,100.0,Latest historical season; on-court net rating
1643544,Zuby Ejiofor,ATL,12.0,0.0,100.0,Neutral assumption — no matched history
1643412,Kingston Flemings,ATL,12.0,0.0,100.0,Neutral assumption — no matched history
1642933,Keshon Gilbert,ATL,18.445833333333333,-20.0,100.0,Latest historical season; on-court net rating
1631243,Mouhamed Gueye,ATL,15.309567099567099,2.3,100.0,Latest historical season; on-court net rating
1627741,Buddy Hield,ATL,16.064150326797385,-4.9,100.0,Latest historical season; on-court net rating
1630552,Jalen Johnson,ATL,35.16108796296297,3.2,100.0,Latest historical season; on-court net rating
1630557,Corey Kispert,ATL,18.61390804597701,-7.0,100.0,Latest historical season; on-court net rating
1629111,Jock Landale,ATL,22.148186274509804,-2.2,100.0,Latest historical season; on-court net rating
203468,CJ McCollum,ATL,29.781206140350875,1.5,100.0,Latest historical season; on-court net rating
1642948,Ryan Nembhard,ATL,19.514666666666667,-1.9,100.0,Latest historical season; on-court net rating
1642854,Asa Newell,ATL,11.36155303030303,-3.8,100.0,Latest historical season; on-court net rating
1630168,Onyeka Okongwu,ATL,31.04011261261261,2.1,100.0,Latest historical season; on-court net rating
1643539,Henri Veesaar,ATL,12.0,0.0,100.0,Neutral assumption — no matched history
1629216,Gabe Vincent,ATL,16.586383647798744,1.3,100.0,Latest historical season; on-court net rating
1630811,Keaton Wallace,ATL,10.113018867924529,-8.6,100.0,Latest historical season; on-court net rating
1630598,Aaron Wiggins,ATL,21.75353846153846,6.2,100.0,Latest historical season; on-court net rating
1630592,Jalen Wilson,ATL,15.911512345679013,-10.9,100.0,Latest historical season; on-court net rating
1643416,Chris Cenac Jr.,BOS,12.0,0.0,100.0,Neutral assumption — no matched history
201144,Mike Conley,BOS,18.357376543209877,0.2,100.0,Latest historical season; on-court net rating
1643620,Tucker DeVries,BOS,12.0,0.0,100.0,Neutral assumption — no matched history
1630568,Luka Garza,BOS,16.20157004830918,5.8,100.0,Latest historical season; on-court net rating
202331,Paul George,BOS,30.676531531531534,3.6,100.0,Latest historical season; on-court net rating
1642864,Hugo González,BOS,14.647702702702704,11.9,100.0,Latest historical season; on-court net rating
1631199,Ron Harper Jr.,BOS,10.94919540229885,2.7,100.0,Latest historical season; on-court net rating
1630573,Sam Hauser,BOS,24.796794871794873,8.8,100.0,Latest historical season; on-court net rating
1641759,Dillon Mitchell,BOS,12.0,0.0,100.0,Neutral assumption — no matched history
1630202,Payton Pritchard,BOS,32.34839662447258,8.0,100.0,Latest historical season; on-court net rating
1629674,Neemias Queta,BOS,25.34482456140351,13.2,100.0,Latest historical season; on-court net rating
1629011,Mitchell Robinson,BOS,19.57502777777778,7.8,100.0,Latest historical season; on-court net rating
1631248,Baylor Scheierman,BOS,18.562380952380952,7.3,100.0,Latest historical season; on-court net rating
1642917,Max Shulga,BOS,3.2977272727272724,-7.6,100.0,Latest historical season; on-court net rating
1628369,Jayson Tatum,BOS,32.615625,10.5,100.0,Latest historical season; on-court net rating
1642870,Milos Uzan,BOS,12.0,0.0,100.0,Neutral assumption — no matched history
1641775,Jordan Walsh,BOS,17.82308823529412,5.1,100.0,Latest historical season; on-court net rating
1628401,Derrick White,BOS,34.09034632034632,11.3,100.0,Latest historical season; on-court net rating
1642873,Amari Williams,BOS,6.623787878787879,-17.4,100.0,Latest historical season; on-court net rating
1643548,Tyler Bilodeau,BRK,12.0,0.0,100.0,Neutral assumption — no matched history
1643414,Mikel Brown Jr.,BRK,12.0,0.0,100.0,Neutral assumption — no matched history
1641730,Noah Clowney,BRK,26.970656565656565,-8.7,100.0,Latest historical season; on-court net rating
1642856,Egor Dëmin,BRK,25.157852564102562,-5.9,100.0,Latest historical season; on-court net rating
1631165,Keon Ellis,BRK,20.536643518518517,-4.8,100.0,Latest historical season; on-court net rating
1643538,Joshua Jefferson,BRK,12.0,0.0,100.0,Neutral assumption — no matched history
1643052,Chaney Johnson,BRK,20.44607843137255,-9.0,100.0,Latest historical season; on-court net rating
1629611,Terance Mann,BRK,24.27010582010582,-8.2,100.0,Latest historical season; on-court net rating
1631169,Josh Minott,BRK,17.014931972789118,-0.1,100.0,Latest historical season; on-court net rating
1641761,Grant Nelson,BRK,8.7525,-9.9,100.0,Latest historical season; on-court net rating
1629008,Michael Porter Jr.,BRK,32.47314102564103,-6.6,100.0,Latest historical season; on-court net rating
